id,request_id,entity_id,Load Number,entity_type,workflow_identifier,workflow_node,action,status,comment,created_at,updated_at
101584,656db2126c52,4303691551,4303691551,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303691551 is already pickedup, therefore skipped.",2024-10-31 12:07:56,2024-10-31 12:07:56
101586,656db2126c52,4303698126,4303698126,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303698126 is already pickedup, therefore skipped.",2024-10-31 12:07:57,2024-10-31 12:07:57
101643,17a0bf38b385,4303570699,4303570699,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303570699 is already pickedup, therefore skipped.",2024-10-31 12:12:03,2024-10-31 12:12:03
101645,17a0bf38b385,4303629210,4303629210,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303629210 is already delivered, therefore skipped.",2024-10-31 12:12:03,2024-10-31 12:12:03
101647,17a0bf38b385,4303629355,4303629355,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303629355 is already delivered, therefore skipped.",2024-10-31 12:12:04,2024-10-31 12:12:04
101659,17a0bf38b385,4303691875,4303691875,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303691875 is at delivery, therefore skipped.",2024-10-31 12:12:06,2024-10-31 12:12:06
101670,17a0bf38b385,4303694524,4303694524,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303694524 is already pickedup, therefore skipped.",2024-10-31 12:12:08,2024-10-31 12:12:08
101678,17a0bf38b385,4303699893,4303699893,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303699893 has billed time 00:00, therefore skipped.",2024-10-31 12:12:10,2024-10-31 12:12:10
101697,17a0bf38b385,5000262068,5000262068,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 5000262068 is already delivered, therefore skipped.",2024-10-31 12:12:15,2024-10-31 12:12:15
101699,17a0bf38b385,5000262105,5000262105,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 5000262105 is already delivered, therefore skipped.",2024-10-31 12:12:16,2024-10-31 12:12:16
101703,17a0bf38b385,5000262144,5000262144,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 5000262144 is already pickedup, therefore skipped.",2024-10-31 12:12:17,2024-10-31 12:12:17
101709,17a0bf38b385,4303700837,4303700837,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303700837 is already pickedup, therefore skipped.",2024-10-31 12:12:18,2024-10-31 12:12:18
101768,b488afa483a2,4303691952,4303691952,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 4303691952 is already delivered, therefore skipped.",2024-10-31 12:12:33,2024-10-31 12:12:33
101780,b488afa483a2,5000261997,5000261997,Load,ready_to_pickup,update_loads,LOAD_UPDATED,SUCCESS,"Updated comment: Hold over report received. Load 5000261997 is already delivered, therefore skipped.",2024-10-31 12:12:36,2024-10-31 12:12:36
