FACILITY,DATE,Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS,DETAILED NOTES/COMMENTS,Reminder,Escalated?
CLINTON,31-Oct,4303691551,AKHT,S5321017,Lincoln,NE,10/29/2024,16:00,10/30/2024,1:17,603,N,N,N,,,,
CLINTON,31-Oct,4303698126,HIRP,6349,Lincoln,NE,10/29/2024,16:00,10/29/2024,23:33,603,N,N,N,,,,
CLINTON,31-Oct,4303697532,HIRP,H00212,Cudahy,WI,10/29/2024,20:30,10/29/2024,23:37,501,N,N,N,,,,
CLINTON,31-Oct,4303705903,AKHT,28632,Olathe,KS,10/30/2024,15:00,10/30/2024,13:53,,Y,N,N,,,,
CLINTON,31-Oct,4303674280,AKHT,53160,Peru,IN,10/30/2024,17:30,10/30/2024,17:56,102,N,N,N,,,,
CLINTON,31-Oct,4303706032,CPU,6037,MURPHY,TX,10/30/2024,20:00,10/30/2024,22:58,304,N,N,N,,,,
CLINTON,31-Oct,4303699234,CPU,5702,RIVIERA BEACH,FL,10/30/2024,22:00,10/31/2024,0:27,304,N,N,N,,,,
CLINTON,31-Oct,4303705546,PRIJ,250834,Greenfield,IN,11/1/2024,10:30,10/31/2024,0:07,,Y,N,N,,,,
CLINTON,31-Oct,4303707393,SHGR,52307,Greenfield,IN,11/1/2024,10:30,10/30/2024,23:06,,Y,N,N,,,,
CLINTON,31-Oct,4303701582,HIRS,H30228,Lincoln,NE,11/1/2024,11:00,10/30/2024,17:28,,Y,N,N,,,,
CLINTON,31-Oct,4303701826,HIRP,H30403,Lincoln,NE,11/1/2024,17:00,10/30/2024,23:06,,Y,N,N,,,,
Milan,31-Oct,4303570699,PRIJ,232038,OKLAHOMA CITY,OK,10/31/2024,8:30,10/31/2024,2:26,,Y,N,,,,,
Milan,31-Oct,4303629210,SHKE,80183,CHILLICOTHE,MO,11/1/2024,5:00,10/30/2024,18:25,,Y,N,,,,,
Milan,31-Oct,4303629355,SHKE,80085,CHILLICOTHE,MO,10/31/2024,5:00,10/30/2024,9:28,,Y,N,,,,,
Milan,31-Oct,4303653871,PRIJ,241098,OKLAHOMA CITY,OK,10/31/2024,20:00,10/30/2024,17:09,,Y,N,,,,,
Milan,31-Oct,4303679323,RDXO,531848,Sioux City,IA,10/30/2024,21:30,10/31/2024,0:52,999,N,N,,,,,
Milan,31-Oct,4303680126,RDXO,531388,Sioux City,IA,10/31/2024,21:30,10/30/2024,18:34,,Y,N,,,,,
Milan,31-Oct,4303684249,HIRP,95244,DES MOINES,IA,10/31/2024,12:30,10/30/2024,15:59,,Y,N,,,,,
Milan,31-Oct,4303684343,SHKE,8292,DES MOINES,IA,11/1/2024,10:30,10/30/2024,18:48,,Y,N,,,,,
Milan,31-Oct,4303691875,AKHT,53494,Junction City,KS,10/31/2024,2:30,10/30/2024,21:48,,Y,N,,,,,
Milan,31-Oct,4303692230,HIRS,30244,Sioux City,IA,10/31/2024,21:30,10/29/2024,16:40,,Y,N,,,,,
Milan,31-Oct,4303693393,RDXO,531243,Sioux Center,IA,10/30/2024,22:00,10/30/2024,15:52,,Y,N,,,,,
Milan,31-Oct,4303693831,RDXO,531289,Sioux Center,IA,10/30/2024,21:00,10/30/2024,14:31,,Y,N,,,,,
Milan,31-Oct,4303694160,HIRS,40303,EAST POINT,GA,10/30/2024,16:30,10/29/2024,21:57,,Y,N,,,,,
Milan,31-Oct,4303694524,AKHT,5324606,Cudahy,WI,10/31/2024,11:00,10/31/2024,0:34,,Y,N,,,,,
Milan,31-Oct,4303696054,HIRS,91452,ORANGE CITY,IA,10/31/2024,20:00,10/30/2024,20:00,,Y,N,,,,,
Milan,31-Oct,4303696354,PRIJ,215680,DAVENPORT,IA,11/1/2024,5:00,10/31/2024,1:31,,Y,N,,,,,
Milan,31-Oct,4303699579,PRIJ,190685,HIDALGO,TX,11/1/2024,18:30,10/30/2024,22:17,,Y,N,,,,,
Milan,31-Oct,4303699893,CLLQ,,LOS ANGELES,CA,11/1/2024,5:00,,0:00,,Y,N,,,,,
Milan,31-Oct,4303700678,CPU,,NORTH SIOUX CITY,SD,10/30/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303700679,CPU,,SAN ANTONIO,TX,10/30/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303700691,CPU,,LAKELAND,FL,10/31/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303701946,PRIJ,200368,DUBUQUE,IA,11/1/2024,10:00,10/30/2024,0:46,,Y,N,,,,,
Milan,31-Oct,4303702437,STVV,19101,Smithfield,VA,11/1/2024,18:30,10/30/2024,10:02,,Y,N,,,,,
Milan,31-Oct,4303702486,STVV,16341,Smithfield,VA,11/1/2024,18:30,10/30/2024,11:54,,Y,N,,,,,
Milan,31-Oct,4303702983,CPU,,CORAL GABLES,FL,11/1/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303704778,PTGB,1195,DES MOINES,IA,10/31/2024,8:30,10/30/2024,13:18,,Y,N,,,,,
Milan,31-Oct,4303705206,CPU,,SYRACUSE,NY,10/31/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303705749,HIRS,6628,HOUSTON,TX,10/31/2024,16:30,10/30/2024,16:27,,Y,N,,,,,
Milan,31-Oct,4303705881,HIRS,20907,Wilson,NC,10/31/2024,20:00,10/30/2024,20:30,,Y,N,,,,,
Milan,31-Oct,4303706686,PRIJ,220230,CLINTON,OK,10/31/2024,8:00,10/31/2024,0:07,,Y,N,,,,,
Milan,31-Oct,4303707532,CPU,,DALLAS,TX,11/1/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303707548,CPU,,DORAL,FL,10/31/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,4303708188,CPU,,MISSISSAUGA,ON,11/1/2024,11:11,,0:00,,Y,N,,,,,
Milan,31-Oct,5000262067,SHKE,C#1/80387,Chillicothe,MO,10/30/2024,8:05,10/30/2024,8:05,,Y,N,,,,,
Milan,31-Oct,5000262068,SHKE,C#2/80278,Chillicothe,MO,10/30/2024,10:46,10/30/2024,10:46,,Y,N,,,,,
Milan,31-Oct,5000262105,SHKE,DM#1/80335,Des Moines,IA,10/30/2024,12:40,10/30/2024,12:40,,Y,N,,,,,
Milan,31-Oct,5000262133,PTGB,CR#1/1144,Des Moines,IA,10/30/2024,16:56,10/30/2024,16:56,,Y,N,,,,,
Milan,31-Oct,5000262144,SHKE,DM#2/80023,Des Moines,IA,10/30/2024,14:39,10/30/2024,14:39,,Y,N,,,,,
Milan,31-Oct,5000262152,SHKE,C#4/80235,Chillicothe,MO,10/30/2024,15:57,10/30/2024,15:57,,Y,N,,,,,
Milan,31-Oct,5000262157,SHKE,CUT#5/80032,Chillicothe,MO,10/30/2024,21:56,10/30/2024,21:56,,Y,N,,,,,
Milan,31-Oct,4303700837,TSL,TTNU8163574,EDGERTON,KS,,,10/30/2024,12:18,,,,,,,,
Milan,31-Oct,4303698731,TSL,CGMU5360065,EDGERTON,KS,,,10/29/2024,16:12,,,,,,,,
Milan,31-Oct,4303705652,TSL,AMCU9374534,EDGERTON,KS,,,10/30/2024,23:21,,,,,,,,
Crete,31-Oct,4303691952,AKHT,5321006,Junction City,KS,10/31/2024,11:00,10/30/2024,7:55,,Y,N,N,,,,
Crete,31-Oct,5000262158,BTDQ,262,Olathe,KS,10/30/2024,22:52,10/30/2024,22:52,,Y,N,Y,,,,
Crete,31-Oct,4303689676,BTDQ,257,Lincoln,NE,10/31/2024,4:30,10/29/2024,22:58,,Y,N,N,,,,
Crete,31-Oct,4303691654,BTDQ,450,Lincoln,NE,10/31/2024,4:30,10/30/2024,2:38,,Y,N,N,,,,
Crete,31-Oct,5000262159,BTDQ,263,Olathe,KS,10/31/2024,0:34,10/31/2024,0:34,,Y,N,Y,,,,
Crete,31-Oct,4303703683,BTDQ,245,LINCOLN,NE,10/31/2024,9:00,10/31/2024,0:06,,Y,N,N,,,,
Crete,31-Oct,5000261997,FRFT,319,Olathe,KS,10/29/2024,10:25,10/29/2024,10:25,,Y,N,Y,,,,
Crete,31-Oct,5000262055,FRFT,722,Olathe,KS,10/29/2024,19:04,10/29/2024,19:04,,Y,N,Y,,,,
Crete,31-Oct,4303697275,FRFT,1117,Omaha,NE,10/31/2024,5:30,10/30/2024,17:01,,Y,N,N,,,,
