Start Date,End Date,Load Number,Shipper,Carrier,Workflow,Alert,Response Time,Raw Response,Goal,Updated data points on FK,Reminder,Escalated
2024-10-31,2024-11-03,4303698570,smithfield-foods,Prime Inc.,shipment_update,,3 days 01:38:12," Current location is Winnemucca, NV. (183 miles)\n\nFrom: Baron G. Weaver\nOn Behalf Of CustomerService\nSent: Saturday, November 2, 2024 7:51 PM\nTo: Smithfield Visibility Services; Logistics Customer Support\nCc: atorres@smithfield.com; jstrait@smithfield.com; dchandonnet@smithfield.com; logisticalservices@smithfield.com\nSubject: RE: No Tracking Updates - Alert : 4303698570\n\nAdding in \n@Logistics Customer Support for 2636411.\n\nFrom: Smithfield Visibility Services\n\nSent: Saturday, November 2, 2024 8:48 PM\nTo: NightSales; Aaron McLees; Brent Foster; Chris\nGibson; Ryan Summers; Roland Williamson; Jennifer Sanderson\n; Christopher Korey; Heather Chastain; Steve Behnke\n; Daniel Howser; Paul Novakowski; Tammy Grice-McLees\n; Todd Davis\nCc: atorres@smithfield.com;\njstrait@smithfield.com; dchandonnet@smithfield.com;\nlogisticalservices@smithfield.com\nSubject: No Tracking Updates - Alert : 4303698570\n\nHello Prime Inc., The shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure.\n\nShipment Number: 4303698570\n\nTruck Number: B36411\n\nOrigin: SP5189-SFD-Crete DC, NE\n\nDestination: CU0020001023-WALMART DC 7048-MCCARRAN\n\nShipment Secure (Y/N):\n\nReason for No Ping:\n\nETA to delivery:\n\nReason for delay(if late):\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; LATEST_LOCATION_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303664247,smithfield-foods,Capstone Logistics,shipment_update,,0 days 00:06:04,,FAILURE,LRC_UPDATED,,
2024-10-31,2024-10-31,4303664247,smithfield-foods,Capstone Logistics,shipment_update,,0 days 00:06:04," Good Evening,\n\nETA 0700 tomorrow morning. Looks good for OTP.\n\nHello Capstone Logistics,\nThe shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303664247\n\nTruck Number:\n\nOrigin: SP5166-AMC-E Dubuque,IL\n\nDestination: CU0020001602-WALMART DC 7010-NEW CANEY\n\nTruck Number #:\n\nTrailer Number #:\n\nETA to pickup:\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303703460,smithfield-foods,Prime Inc.,shipment_update,,0 days 00:40:07," We have a team assigned to the load, good for on time pickup in the morning.\n\nHello Prime Inc.,\nThe shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303703460\n\nTruck Number:\n\nOrigin: SP1220-SFD-Salt Lake City, UT\n\nDestination: CU0020000680-WALMART DC 7084-RIVERSIDE\n\nTruck Number #:\n\nTrailer Number #:\n\nETA to pickup:\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303630547,smithfield-foods,Integrity Express Logistics,shipment_update,,0 days 20:49:10," Your request (2319368) has been updated. To add additional comments, reply to this email.\n\nNov 1, 2024, 07:22 EDT Per 4Kites delivered.\n\nNov 1, 2024, 00:07 EDT Hello Integrity Express Logistics,\n\nThe shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure.\n\nShipment Number: 4303630547\nTruck Number: Origin: SP5087-AMC-Benson,NC\nDestination: CU0020001250-WALMART DC 6099-MACCLENNY\nShipment Secure (Y/N): Reason for No Ping: ETA to delivery:Reason for delay(if late): Latest Location: Notes or Comments:\n\nYou are receiving this email as part of FourKites workflow notifications setup by Smithfield Foods.",SUCCESS,ASSET_UPDATED; DETAILS_EXTRACTED; LATEST_LOCATION_UPDATED; LOAD_STATUS_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-11-01,4303638936,smithfield-foods,ST Freight LLC,shipment_update,,1 days 09:34:14," Your request (2319280) has been updated. To add additional comments, reply to this email.          \nRescheduled for 11.01 @ 0815.\n\nHello ST Freight LLC,\n\nThe shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure.\n\nShipment Number: 4303638936\nTruck Number: 84\nOrigin: SP5166-AMC-E Dubuque,IL\nDestination: CU0020001602-WALMART DC 7010-NEW CANEY\nShipment Secure (Y/N):\nReason for No Ping:\nETA to delivery:Reason for delay(if late):\nLatest Location:\nNotes or Comments:\n\nYou are receiving this email as part of FourKites workflow notifications setup by Smithfield Foods.",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303702686,smithfield-foods,Potter Transport Inc.,shipment_update,,0 days 00:46:09," Will pick up 10/31@0600 OTDOn Oct 30, 2024, at 9:57â\x80¯PM, Smithfield Visibility Services <smithfield_visibility_services@fourkites.com> wrote:\nHello Potter Transport Inc.,\n                        The shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303702686\n\nOrigin: SP5377-Lineage-KC DC,KS\n\nDestination: CU0020001293-WALMART DC 6077-MOBERLY\n\nTruck Number #:\n\nTrailer Number #:\n\nETA to pickup:\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303695559,smithfield-foods,Raider Express Inc.,shipment_update,,0 days 00:04:15," PU 10/31 mid morning. GFOTD\n\nFrom: Smithfield Visibility Services <smithfield_visibility_services@fourkites.com>\n\nSent: Wednesday, October 30, 2024 10:17 PM To: Dustin Riley <dustinriley@raiderexpress.com>; Tanner Bowden <tannerbowden@raiderexpress.com>; Evan Pritchard <evanpritchard@raiderexpress.com>; Dispatch Group <dispatch@raiderexpress.com> Cc: atorres@smithfield.com; jstrait@smithfield.com; dchandonnet@smithfield.com; logisticalservices@smithfield.com Subject: Asset Not Assigned - Alert : 4303695559\n\nCAUTION: This email originated from outside the organization. Do not click links or open attachments unless you recognize the sender and know the content is safe.\n\nHello Raider Express Inc., The shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303695559\n\nTruck Number:\n\nOrigin: SP5377-Lineage-KC DC,KS\n\nDestination: CU0020000824-WALMART DC 7077-CHEYENNE\n\nTruck Number #:\n\nTrailer Number #:\n\nETA to pickup:\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303702689,smithfield-foods,Raider Express Inc.,shipment_update,,0 days 00:07:04," PU tomorrow morning. GFOTD\n\nCAUTION: This email originated from outside the organization. Do not click links or open attachments unless you recognize the sender and know the content is safe.\n\nHello Raider Express Inc.,\nThe shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303702689\n\nTruck Number:\n\nOrigin: SP5377-Lineage-KC DC,KS\n\nDestination: CU0020001296-WALMART DC 6064-CLEBURNE\n\nTruck Number #:\n\nTrailer Number #:\n\nETA to pickup:\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-11-01,4303700286,smithfield-foods,Great Central Truck Leasing,shipment_update,,1 days 06:51:22," Your request (2319319) has been updated. To add additional comments, reply to this email.          \n\nNov 1, 2024, 07:32 EDT             Per 4Kites delivered.\n\nOct 31, 2024, 22:24 EDT             Hello Great Central Truck Leasing,\n\nThe shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure.\n\nShipment Number: 4303700286\n\nTruck Number: 1425\n\nOrigin: CU0020001214-WALMART DC 6065-HARRISONVILLE\n\nDestination: SP5377-Lineage-KC DC,KS\n\nShipment Secure (Y/N): Reason for No Ping: ETA to delivery: Reason for delay(if late): Latest Location: Notes or Comments:\n\nYou are receiving this email as part of FourKites workflow notifications setup by Smithfield Foods.",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; LOAD_STATUS_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-11-03,4303698565,smithfield-foods,Prime Inc.,shipment_update,,2 days 20:41:27," Driver current location : Las Vegas NV,\n\n\n\nAdding in \n@Logistics Customer Support for 2636410.\n\nHello Prime Inc.â\x80\x8a, The shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure. Shipment Number: 4303698565 Truck Number: B36410 Origin: SP5189-SFD-Crete DC, NE Destination: CU0020000680-WALMART\n\nHello Prime Inc.,\nThe shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure.\n\nShipment Number: 4303698565\n\nTruck Number: B36410\n\nOrigin: SP5189-SFD-Crete DC, NE\n\nDestination: CU0020000680-WALMART DC 7084-RIVERSIDE\n\nShipment Secure (Y/N):\n\nReason for No Ping:\n\nETA to delivery:\n\nReason for delay(if late):\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; LATEST_LOCATION_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303703363,smithfield-foods,Prime Inc.,shipment_update,,0 days 00:32:15," Still waiting to be loaded out of Lincoln, NE.\n\nFrom: Smithfield Visibility Services <smithfield_visibility_services@fourkites.com>\n\nSent: Thursday, October 31, 2024 1:04 AM To: NightSales <nightsales@primeinc.com>; Aaron McLees <Amclees@primeinc.com>; Brent Foster <Bfoster@primeinc.com>; Chris Gibson <Cgibson@primeinc.com>; Ryan Summers <Rsummers@primeinc.com>; Roland Williamson <Rwilliamson@primeinc.com>; Jennifer Sanderson <Jsanderson@primeinc.com>; Christopher Korey <Ckorey@primeinc.com>; Heather Chastain <Hchastain@primeinc.com>; Steve Behnke <Sbehnke@primeinc.com>; Daniel Howser <Dhowser@primeinc.com>; Paul Novakowski <Pnovakowski@primeinc.com>; Tammy Grice-McLees <Tgrice-Mclees@primeinc.com>; Todd Davis <Tdavis@primeinc.com> Cc: atorres@smithfield.com; jstrait@smithfield.com; dchandonnet@smithfield.com; logisticalservices@smithfield.com Subject: No Tracking Updates - Alert : 4303703363\n\nHello Prime Inc., The shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure. Shipment Number: 4303703363 Truck Number: A31034 Origin: SP1273-SFD-Lincoln,NE Destination: SP5280-SFD-Greenfield,\n\nHello Prime Inc., The shipment has not received any location updates in the last 2 hours. Please advise if the shipment is on-time and secure.\n\nShipment Number: 4303703363\n\nTruck Number: A31034\n\nOrigin: SP1273-SFD-Lincoln,NE\n\nDestination: SP5280-SFD-Greenfield, IN DC\n\nShipment Secure (Y/N):\n\nReason for No Ping:\n\nETA to delivery:\n\nReason for delay(if late):\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; LATEST_LOCATION_UPDATED; REASON_COMMENT_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303703363,smithfield-foods,Prime Inc.,shipment_update,,0 days 00:32:15,,FAILURE,LRC_UPDATED,,
2024-10-31,2024-10-31,4303690850,smithfield-foods,Lake Trucking Company,shipment_update,,0 days 04:53:08," Hello Lake Trucking Company,\nThe shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303690850\n\nTruck Number:\n\nOrigin: SP1273-SFD-Lincoln,NE\n\nDestination: CU0020018377-WALMART DC 8851-COCOA\n\nTruck Number #: 716593\n\nTrailer Number #: 552793\n\nETA to pickup: 7am 11/1/24\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location: Denver\n\nNotes or Comments: good for OTD we run teams",SUCCESS,ASSET_UPDATED; DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303702948,smithfield-foods,Hirschbach Motor Lines Inc,shipment_update,,0 days 09:30:10," Your request (2318728) has been updated. To add additional comments, reply to this email.\n\nNov 1, 2024, 06:32 EDT             Per 4Kites departed and tracking OTW\n\n\nOct 31, 2024, 09:20 EDT             Hello Hirschbach Motor Lines Inc,\n\nThe shipment seems to have not been picked up. Please advise Pickup ETA and confirm on-time.\n\nShipment Number: 4303702948\n\nTruck Number:\n\nOrigin: SP5377-Lineage-KC DC,KS\n\nDestination: CU0020001606-WALMART DC 7013-CASA GRANDE\n\nETA to pickup:Reason for delay:\n\nTruck Number #: \n\nTrailer Number #: \n\nNotes or Comments:\n\nYou are receiving this email as part of FourKites workflow notifications setup by Smithfield Foods.",SUCCESS,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303696398,smithfield-foods,"Corney Transportation, Inc.",shipment_update,,0 days 00:24:06," Driver is at Tar Heel load not ready\nSent from my iPhone\n\nOn Oct 31, 2024, at 5:47â\x80¯AM, Smithfield Visibility Services wrote:\n\nHello Corney Transportation, Inc.,\nThe shipment seems to have no asset assigned. Please advise asset information.\n\nShipment Number: 4303696398\n\nTruck Number:\n\nOrigin: SP5315-Tar Heel DC, NC\n\nDestination: CU0020018377-WALMART DC 8851-COCOA\n\nTruck Number #:\n\nTrailer Number #:\n\nETA to pickup:\n\nReason for delay(if late):\n\nCarrier Contact Name:\n\nCarrier Contact Phone#:\n\nLatest Location:\n\nNotes or Comments:",SUCCESS,DETAILS_EXTRACTED; LOAD_STATUS_UPDATED; USER_MESSAGE_UPDATED,,
2024-10-31,2024-10-31,4303696398,smithfield-foods,"Corney Transportation, Inc.",shipment_update,,0 days 00:24:06,,FAILURE,LRC_UPDATED,,
2024-10-31,2024-10-31,4303699791,smithfield-foods,Prime Inc.,shipment_update,,0 days 00:04:06," Load is assigned and tracking for pickup later this morning. Working on eta for pickup.\r\n\n\xa0\n\nHello Prime Inc.,\nThe shipment seems to have no asset assigned. Please advise asset information.\r\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nShipment Number: 4303699791\r\n\n\n\nTruck Number:\n\n\n\n\n\nOrigin: SP5189-SFD-Crete DC, NE\r\n\n\n\nDestination: CU0020001648-WALMART DC 6084-LOS LUNAS\r\n\n\n\n\n\nTruck Number #:\n\n\n\nTrailer Number #:\n\n\n\n\n\nETA to pickup:\n\n\n\nReason for delay(if late):\n\n\n\n\n\nCarrier Contact Name:\n\n\n\nCarrier Contact Phone#:\n\n\n\n\n\nLatest Location:\n\n\n\n\n\n\n\nNotes or Comments:\n",SUCCESS,DETAILS_EXTRACTED; USER_MESSAGE_UPDATED,,
