Date,Load Number,Shipper,Carrier,Workflow,Alert,Response Time,Raw Response,Goal,Updated data points on FK,Reminder,Escalated
2024-10-31,4303507587,smithfield-foods,Coyote Logistics,notifier,Load #4303507587: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303597623,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303597623 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303597733,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303597733 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303598137,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303598137 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303627029,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303627029: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303627238,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303627238 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303627239,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303627239 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303630458,smithfield-foods,RXO Logistics (Brokerage),notifier,Load #4303630458: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303630547,smithfield-foods,Integrity Express Logistics,notifier,Load #4303630547: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303630557,smithfield-foods,DJM Logistics/MoLo Solutions,notifier,Load #4303630557 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303630567,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303630567: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303630706,smithfield-foods,Coyote Logistics,notifier,Load #4303630706 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303630724,smithfield-foods,Coyote Logistics,notifier,Load #4303630724: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303632325,smithfield-foods,Coyote Logistics,notifier,Load #4303632325: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303632334,smithfield-foods,RFX LLC,notifier,Load #4303632334 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
