FACILITY,DATE,Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS,DETAILED NOTES/COMMENTS,Reminder_x,Escalated?,Date,Shipper,Carrier,Workflow,Alert,Response Time,Raw Response,Goal,Updated data points on FK,Reminder_y,Escalated
CLINTON,31-Oct,4303691551.0,AKHT,S5321017,Lincoln,NE,10/29/2024,16:00,10/30/2024,1:17,603.0,N,N,N,Email not sent,,,,,,,,,,,,,,
CLINTON,31-Oct,4303698126.0,HIRP,6349,Lincoln,NE,10/29/2024,16:00,10/29/2024,23:33,603.0,N,N,N,Email not sent,,,,,,,,,,,,,,
CLINTON,31-Oct,4303697532.0,HIRP,H00212,Cudahy,WI,10/29/2024,20:30,10/29/2024,23:37,501.0,N,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
CLINTON,31-Oct,4303705903.0,AKHT,28632,Olathe,KS,10/30/2024,15:00,10/30/2024,13:53,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Armour Eckrich Transportation,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,Y
CLINTON,31-Oct,4303674280.0,AKHT,53160,Peru,IN,10/30/2024,17:30,10/30/2024,17:56,102.0,N,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Armour Eckrich Transportation,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,Y
CLINTON,31-Oct,4303706032.0,CPU,6037,MURPHY,TX,10/30/2024,20:00,10/30/2024,22:58,304.0,N,N,N,Email not sent,,,,,,,,,,,,,,
CLINTON,31-Oct,4303699234.0,CPU,5702,RIVIERA BEACH,FL,10/30/2024,22:00,10/31/2024,0:27,304.0,N,N,N,Email not sent,,,,,,,,,,,,,,
CLINTON,31-Oct,4303705546.0,PRIJ,250834,Greenfield,IN,11/1/2024,10:30,10/31/2024,0:07,,Y,N,N,Email sent and no response processed,,,,2024-11-01,smithfield-foods,Prime Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
CLINTON,31-Oct,4303707393.0,SHGR,52307,Greenfield,IN,11/1/2024,10:30,10/30/2024,23:06,,Y,N,N,Email sent and no response processed,,,,2024-11-01,smithfield-foods,Schuster Co.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
CLINTON,31-Oct,4303701582.0,HIRS,H30228,Lincoln,NE,11/1/2024,11:00,10/30/2024,17:28,,Y,N,N,Email sent and no response processed,,,,2024-11-01,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
CLINTON,31-Oct,4303701826.0,HIRP,H30403,Lincoln,NE,11/1/2024,17:00,10/30/2024,23:06,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303570699.0,PRIJ,232038,OKLAHOMA CITY,OK,10/31/2024,8:30,10/31/2024,2:26,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303629210.0,SHKE,80183,CHILLICOTHE,MO,11/1/2024,5:00,10/30/2024,18:25,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303629355.0,SHKE,80085,CHILLICOTHE,MO,10/31/2024,5:00,10/30/2024,9:28,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303653871.0,PRIJ,241098,OKLAHOMA CITY,OK,10/31/2024,20:00,10/30/2024,17:09,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303679323.0,RDXO,531848,Sioux City,IA,10/30/2024,21:30,10/31/2024,0:52,999.0,N,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Raider Express Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,4303680126.0,RDXO,531388,Sioux City,IA,10/31/2024,21:30,10/30/2024,18:34,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303684249.0,HIRP,95244,DES MOINES,IA,10/31/2024,12:30,10/30/2024,15:59,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303684343.0,SHKE,8292,DES MOINES,IA,11/1/2024,10:30,10/30/2024,18:48,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303691875.0,AKHT,53494,Junction City,KS,10/31/2024,2:30,10/30/2024,21:48,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303692230.0,HIRS,30244,Sioux City,IA,10/31/2024,21:30,10/29/2024,16:40,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303693393.0,RDXO,531243,Sioux Center,IA,10/30/2024,22:00,10/30/2024,15:52,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Raider Express Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,4303693831.0,RDXO,531289,Sioux Center,IA,10/30/2024,21:00,10/30/2024,14:31,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Raider Express Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,4303694160.0,HIRS,40303,EAST POINT,GA,10/30/2024,16:30,10/29/2024,21:57,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Milan,31-Oct,4303694524.0,AKHT,5324606,Cudahy,WI,10/31/2024,11:00,10/31/2024,0:34,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303696054.0,HIRS,91452,ORANGE CITY,IA,10/31/2024,20:00,10/30/2024,20:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303696354.0,PRIJ,215680,DAVENPORT,IA,11/1/2024,5:00,10/31/2024,1:31,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303699579.0,PRIJ,190685,HIDALGO,TX,11/1/2024,18:30,10/30/2024,22:17,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303699893.0,CLLQ,,LOS ANGELES,CA,11/1/2024,5:00,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303700678.0,CPU,,NORTH SIOUX CITY,SD,10/30/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303700679.0,CPU,,SAN ANTONIO,TX,10/30/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303700691.0,CPU,,LAKELAND,FL,10/31/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303701946.0,PRIJ,200368,DUBUQUE,IA,11/1/2024,10:00,10/30/2024,0:46,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303702437.0,STVV,19101,Smithfield,VA,11/1/2024,18:30,10/30/2024,10:02,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303702486.0,STVV,16341,Smithfield,VA,11/1/2024,18:30,10/30/2024,11:54,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303702983.0,CPU,,CORAL GABLES,FL,11/1/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303704778.0,PTGB,1195,DES MOINES,IA,10/31/2024,8:30,10/30/2024,13:18,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Potter Transport Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Milan,31-Oct,4303705206.0,CPU,,SYRACUSE,NY,10/31/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303705749.0,HIRS,6628,HOUSTON,TX,10/31/2024,16:30,10/30/2024,16:27,,Y,N,,Email not sent,,,,,,,,,,,,,,
