Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS,Workflow,Workflow Execution Id,Shipper,Carrier,Carrier SCAC,Trigger Message,Response Message,Triggered At,Enquiry Sent At,Response At,Response Delay (mins),Update Actions,Status,Reminder,Escalated
4303717196,HLBO,579610,Olathe,KS,2024-11-08 00:00:00,12:00:00,2024-11-07 00:00:00,14:25:00,,,,,Email sent and response processed,ready_to_pickup,c3faceaaf751-4303717196,smithfield-foods,,,,,2024-11-08 14:23:49,2024-11-09 13:55:53,,,DETAILS_EXTRACTED,TRIGGER_SKIPPED,Y,Y
5000262839,BITD,16T16,Des Moines,IA,2024-11-08 00:00:00,13:56:00,2024-11-08 00:00:00,13:56:00,,,,,Email sent and response processed,ready_to_pickup,b8fc825cd14d-5000262839,smithfield-foods,,,,,2024-11-09 13:55:31,,,,DETAILS_EXTRACTED,TRIGGER_SKIPPED,,
5000262890,JOFD,7863,Des Moines,IA,2024-11-08 00:00:00,15:49:00,2024-11-08 00:00:00,15:49:00,,,,,Email sent and response processed,ready_to_pickup,b8fc825cd14d-5000262890,smithfield-foods,,,,,2024-11-09 13:55:31,,,,DETAILS_EXTRACTED,TRIGGER_SKIPPED,,
4303714995,AKHT,5322130,BURGAW,NC,2024-11-10 00:00:00,12:00:00,2024-11-09 00:00:00,08:18:00,,,,,Email sent and response processed,ready_to_pickup,5f043b2485cc-4303714995,smithfield-foods,,,,"Raw message: Your request (2331995) has been updated. To add additional comments, reply to this email.\n\nHello Armour Eckrich Transportation,\nGentle reminder...\nYour prompt attention to this is appreciated.\nThe following Smithfield Foods shipment(s) have been loaded and ready for pick up from SP1235-SFD-Denison, IA. Please reply back providing the truck number and the driver’s ETA for pick up so we can advise the loading facilities.\n\nShipment Number: 4303714995\n\nTrailer: 5322130\n\nDDT: 2024-11-10, 12:00\n\nBilled Out: 2024-11-09, 08:18\n\nAssigned Truck #: 270551\n\nETA for pickup: 11/11 @ 1200\n\nNotes or Comments:\n\n{{ randomness }}\n\nHello Armour Eckrich Transportation,\nThe following Smithfield Foods shipment(s) have been loaded and ready for pick up from SP1235-SFD-Denison, IA. Please reply back providing the truck number and the driver’s ETA for pick up so we can advise the loading facilities.\n\nShipment Number: 4303714995\n\nTrailer: 5322130\n\nDDT: 2024-11-10, 12:00\n\nBilled Out: 2024-11-09, 08:18\n\nAssigned Truck #: 270551\n\nETA for pickup:\n\nNotes or Comments:",2024-11-11 13:59:00,2024-11-11 13:59:10,2024-11-11 16:16:33,137.38333333333333,DETAILS_EXTRACTED; ETA_UPDATED; USER_MESSAGE_UPDATED,SUCCESS,Y,
4303711507,HLBO,579684,Junction City,KS,2024-11-10 00:00:00,17:30:00,2024-11-08 00:00:00,14:21:00,,,,,Email sent and response processed,ready_to_pickup,b8fc825cd14d-4303711507,smithfield-foods,,,,,2024-11-09 13:55:31,2024-11-11 13:59:10,,,DETAILS_EXTRACTED,TRIGGER_SKIPPED,Y,Y
4303706548,PRIJ,200656,ALSIP,IL,2024-11-11 00:00:00,01:30:00,,00:00:00,,,,,Email not sent,,,,,,,,,,,,,,,
4303719408,PRIJ,180584,Cudahy,WI,2024-11-11 00:00:00,08:30:00,2024-11-09 00:00:00,17:41:00,,,,,Email not sent,,,,,,,,,,,,,,,
4303721229,PRIJ,250865,COLUMBIA,MO,2024-11-11 00:00:00,08:30:00,2024-11-09 00:00:00,17:44:00,,,,,Email not sent,,,,,,,,,,,,,,,
4303684477,MOEE,3054,DES MOINES,IA,2024-11-11 00:00:00,09:00:00,2024-11-08 00:00:00,13:58:00,,,,,Email sent and response processed,ready_to_pickup,b8fc825cd14d-4303684477,smithfield-foods,,,,,2024-11-09 13:55:31,2024-11-11 13:59:11,,,DETAILS_EXTRACTED,TRIGGER_SKIPPED,,
4303714807,HIRP,30514,Junction City,KS,2024-11-11 00:00:00,11:00:00,2024-11-09 00:00:00,20:00:00,,,,,Email sent and response processed,ready_to_pickup,5f043b2485cc-4303714807,smithfield-foods,,,,,2024-11-11 13:59:00,,,,DETAILS_EXTRACTED,TRIGGER_SKIPPED,,
