Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS
4303684482,PTGB,1168,DES MOINES,IA,2024-11-14 00:00:00,00:30:00,2024-11-13 00:00:00,17:20:00,,Y,N,,
4303684484,PTGB,,DES MOINES,IA,2024-11-14 00:00:00,12:30:00,,00:00:00,,Y,N,,STORAGE
4303684758,SHKE,8881,DES MOINES,IA,2024-11-14 00:00:00,10:30:00,2024-11-13 00:00:00,15:27:00,,Y,N,,
4303690987,HIRS,,OKLAHOMA CITY,OK,2024-11-14 00:00:00,18:30:00,,00:00:00,,Y,N,,STORAGE
4303703892,CPU,,DALLAS,TX,2024-11-14 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303704619,RDXO,,Sioux City,IA,2024-11-14 00:00:00,21:30:00,,00:00:00,,Y,N,,STORAGE
4303705408,HIRS,,Sioux City,IA,2024-11-14 00:00:00,23:30:00,,00:00:00,,Y,N,,STORAGE
4303711473,AKHT,5324589,Junction City,KS,2024-11-14 00:00:00,23:30:00,2024-11-14 00:00:00,01:40:00,,Y,N,,
4303712342,HIRP,40356,Cudahy,WI,2024-11-13 00:00:00,20:00:00,2024-11-13 00:00:00,05:35:00,,Y,N,,
4303712460,HIRP,6841,Cudahy,WI,2024-11-13 00:00:00,10:00:00,2024-11-13 00:00:00,21:56:00,999,N,N,,
4303713386,CPU,,TORONTO,ON,2024-11-14 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303714083,RDXO,531811,SALEM,OH,2024-11-13 00:00:00,14:00:00,2024-11-13 00:00:00,15:37:00,999,N,N,,
4303714179,RDXO,531757,SALEM,OH,2024-11-14 00:00:00,04:00:00,2024-11-14 00:00:00,00:19:00,,Y,N,,
4303714763,HIRP,20110,Saint Charles,IL,2024-11-14 00:00:00,01:00:00,2024-11-14 00:00:00,01:20:00,999,N,N,,
4303720023,LSNC,948,Orange City,IA,2024-11-14 00:00:00,20:00:00,2024-11-13 00:00:00,16:29:00,,Y,N,,
4303721596,HIRS,40226,DUBUQUE,IA,2024-11-15 00:00:00,02:30:00,2024-11-13 00:00:00,14:12:00,,Y,N,,
4303722672,CPU,,PONTE VEDRA BEACH,FL,2024-11-15 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303722673,CPU,,SYRACUSE,NY,2024-11-13 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303724378,CPU,,MIAMI,FL,2024-11-14 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303724379,CPU,,SAN ANTONIO,TX,2024-11-14 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303724383,CPU,,SAN ANTONIO,TX,2024-11-15 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303724643,SHKE,80195,KANSAS CITY,MO,2024-11-14 00:00:00,03:00:00,2024-11-14 00:00:00,00:26:00,,Y,N,,
4303724937,CPU,,HOUSTON,TX,2024-11-15 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303725790,HIRS,,HOUSTON,TX,2024-11-15 00:00:00,16:30:00,,00:00:00,,Y,N,,STORAGE
